,IPO year,country,market capital,name,subsector,symbol
96,n/a,UnitedKingdom,$15.05M,VivoPowerInternationalPLC,PowerGeneration,VVPR
97,1994,UnitedStates,$40.85M,"VIVUS,Inc.",MajorPharmaceuticals,VVUS
98,2007,UnitedStates,$78.4B,"Vmware,Inc.",ComputerSoftware:PrepackagedSoftware,VMW
99,2011,UnitedStates,$79.05M,VOCEnergyTrust,Oil&GasProduction,VOC
100,2012,UnitedStates,$1.03B,"VoceraCommunications,Inc.",TelecommunicationsEquipment,VCRA
101,n/a,UnitedKingdom,$43.77B,VodafoneGroupPlc,TelecommunicationsEquipment,VOD
102,2015,Singapore,$127.92M,VolitionRXLimited,Biotechnology:InVitro&InVivoDiagnosticSubstances,VNRX
103,n/a,UnitedStates,$90.7M,"VoltInformationSciences,Inc.",ProfessionalServices,VISI
104,2006,UnitedStates,$2.84B,VonageHoldingsCorp.,TelecommunicationsEquipment,VG
105,n/a,UnitedStates,$12.68B,VornadoRealtyTrust,RealEstateInvestmentTrusts,VNO
106,n/a,UnitedStates,n/a,VornadoRealtyTrust,n/a,VNO^K
107,n/a,UnitedStates,n/a,VornadoRealtyTrust,n/a,VNO^L
108,n/a,UnitedStates,n/a,VornadoRealtyTrust,n/a,VNO^M
109,2013,n/a,$42.32M,voxeljetAG,IndustrialMachinery/Components,VJET
110,n/a,UnitedStates,$87.84M,VOXXInternationalCorporation,ElectronicComponents,VOXX
111,2007,UnitedStates,$101.14M,VoyaAsiaPacificHighDividendEquityIncomeFund,n/a,IAE
112,2011,UnitedStates,$138.8M,VoyaEmergingMarketsHighIncomeDividendEquityFund,n/a,IHD
113,2013,UnitedStates,$7.55B,"VoyaFinancial,Inc.",LifeInsurance,VOYA
114,2005,UnitedStates,$189.82M,VoyaGlobalAdvantageandPremiumOpportunityFund,n/a,IGA
115,2005,UnitedStates,$620.32M,VoyaGlobalEquityDividendandPremiumOpportunityFund,n/a,IGD
116,2010,UnitedStates,$224.21M,"VoyaInfrastructure,IndustrialsandMaterialsFund",n/a,IDE
117,2007,UnitedStates,$47.43M,VoyaInternationalHighDividendEquityIncomeFund,n/a,IID
118,n/a,UnitedStates,$106.23M,VoyaNaturalResourcesEquityIncomeFund,n/a,IRR
119,n/a,UnitedStates,$707.9M,VoyaPrimeRateTrust,n/a,PPR
120,2015,UnitedStates,$826.15M,"VoyagerTherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),VYGR
121,n/a,UnitedStates,$276.12M,VSECorporation,Military/Government/Technical,VSEC
122,2015,UnitedStates,$94.11M,vTvTherapeuticsInc.,MajorPharmaceuticals,VTVT
123,n/a,UnitedStates,$16.79B,VulcanMaterialsCompany,Mining&QuarryingofNonmetallicMinerals(NoFuels),VMC
124,n/a,UnitedStates,$65.14M,VuzixCorporation,RadioAndTelevisionBroadcastingAndCommunicationsEquipment,VUZI
125,n/a,UnitedStates,$32.86B,V.F.Corporation,Apparel,VFC
126,n/a,UnitedStates,$99.26M,"VAALCOEnergy,Inc.",Oil&GasProduction,EGY
127,2018,UnitedStates,$77.94M,"Vaccinex,Inc.",MajorPharmaceuticals,VCNX
128,1997,UnitedStates,$8.67B,"VailResorts,Inc.",Services-Misc.Amusement&Recreation,MTN
129,n/a,Brazil,$64.26B,VALES.A.,PreciousMetals,VALE
130,n/a,UnitedStates,$21.13M,"ValeritasHoldings,Inc.",Medical/DentalInstruments,VLRX
131,n/a,UnitedStates,$30.4B,ValeroEnergyCorporation,IntegratedoilCompanies,VLO
132,n/a,UnitedStates,$695.33M,"Valhi,Inc.",MajorChemicals,VHI
133,n/a,UnitedStates,$20.96M,ValideaMarketLegendsETF,n/a,VALX
134,n/a,UnitedStates,$3.32B,ValleyNationalBancorp,MajorBanks,VLY
135,n/a,UnitedStates,$103.2M,ValleyNationalBancorp,MajorBanks,VLYPO
136,n/a,UnitedStates,$130.27M,ValleyNationalBancorp,MajorBanks,VLYPP
137,n/a,UnitedStates,$2.53B,"ValmontIndustries,Inc.",MetalFabrications,VMI
138,1983,UnitedStates,$235.88M,"ValueLine,Inc.",InvestmentManagers,VALU
139,2016,UnitedStates,$3.33B,ValvolineInc.,MajorChemicals,VVV
140,2006,UnitedStates,$788.1M,VandaPharmaceuticalsInc.,MajorPharmaceuticals,VNDA
141,n/a,UnitedStates,$347.6M,VanEckVectorsBiotechETF,n/a,BBH
142,n/a,UnitedStates,$165.3M,VanEckVectorsPharmaceuticalETF,n/a,PPH
143,n/a,UnitedStates,$1.28B,VanguardEmergingMarketsGovernmentBondETF,n/a,VWOB
144,n/a,UnitedStates,$5.81B,VanguardGlobalex-U.S.RealEstateETF,n/a,VNQI
145,n/a,UnitedStates,$24.22B,VanguardIntermediate-TermCorporateBondETF,n/a,VCIT
146,n/a,UnitedStates,$3.84B,VanguardIntermediate-TermTreasuryETF,n/a,VGIT
147,n/a,UnitedStates,$1.1B,VanguardInternationalDividendAppreciationETF,n/a,VIGI
148,n/a,UnitedStates,$1.06B,VanguardInternationalHighDividendYieldETF,n/a,VYMI
149,n/a,UnitedStates,$3.71B,VanguardLong-TermCorporateBondETF,n/a,VCLT
150,n/a,UnitedStates,$975.81M,VanguardLong-TreasuryETF,n/a,VGLT
151,n/a,UnitedStates,$8.8B,VanguardMortgage-BackedSecuritiesETF,n/a,VMBS
152,n/a,UnitedStates,$1.06B,VanguardRussell1000ETF,n/a,VONE
153,n/a,UnitedStates,$2.58B,VanguardRussell1000GrowthETF,n/a,VONG
154,n/a,UnitedStates,$1.8B,VanguardRussell1000ValueETF,n/a,VONV
155,n/a,UnitedStates,$1.46B,VanguardRussell2000ETF,n/a,VTWO
156,n/a,UnitedStates,$286.83M,VanguardRussell2000GrowthETF,n/a,VTWG
157,n/a,UnitedStates,$241.58M,VanguardRussell2000ValueETF,n/a,VTWV
158,n/a,UnitedStates,$430.17M,VanguardRussell3000ETF,n/a,VTHR
159,n/a,UnitedStates,$23.67B,VanguardShort-TermCorporateBondETF,n/a,VCSH
160,n/a,UnitedStates,$6.14B,VanguardShort-TermInflation-ProtectedSecuritiesIndexFund,n/a,VTIP
161,n/a,UnitedStates,$4.84B,VanguardShort-TermTreasuryETF,n/a,VGSH
162,n/a,UnitedStates,$39.84B,VanguardTotalBondMarketETF,n/a,BND
163,n/a,UnitedStates,$137.44M,VanguardTotalCorporateBondETF,n/a,VTC
164,n/a,UnitedStates,$17.17B,VanguardTotalInternationalBondETF,n/a,BNDX
165,n/a,UnitedStates,$12.05B,VanguardTotalInternationalStockETF,n/a,VXUS
166,n/a,UnitedStates,$126.03M,VanguardTotalWorldBondETF,n/a,BNDW
167,2018,UnitedStates,$303.93M,"Vapotherm,Inc.",Medical/DentalInstruments,VAPO
168,n/a,UnitedStates,$1.01B,VarexImagingCorporation,IndustrialMachinery/Components,VREX
169,n/a,UnitedStates,$11.56B,"VarianMedicalSystems,Inc.",Biotechnology:Electromedical&ElectrotherapeuticApparatus,VAR
170,2014,UnitedStates,$1.93B,"VaronisSystems,Inc.",ComputerSoftware:PrepackagedSoftware,VRNS
171,2014,Israel,$47.36M,VascularBiogenicsLtd.,MajorPharmaceuticals,VBLT
172,n/a,UnitedStates,$10.81M,"Vaxart,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),VXRT
173,n/a,UnitedStates,$193.37M,"VBIVaccines,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),VBIV
174,2018,UnitedStates,$298.18M,VectoIQAcquisitionCorp.,BusinessServices,VTIQ
