,IPO year,country,market capital,name,subsector,symbol
65,n/a,UnitedStates,n/a,"NeuroMetrix,Inc.",Medical/DentalInstruments,NUROW
66,2018,UnitedStates,$207.43M,"Neuronetics,Inc.",Medical/DentalInstruments,STIM
67,n/a,UnitedStates,$92.46M,"Neurotrope,Inc.",MajorPharmaceuticals,NTRP
68,n/a,UnitedStates,$44.33M,"NevadaGold&Casinos,Inc.",Services-Misc.Amusement&Recreation,UWN
69,2014,UnitedStates,$1.81B,NevroCorp.,Medical/DentalInstruments,NVRO
70,n/a,UnitedStates,$400.34M,NewAgeBeveragesCorporation,Beverages(Production/Distribution),NBEV
71,1988,UnitedStates,$203.08M,"NewAmericaHighIncomeFund,Inc.(The)",n/a,HYB
72,n/a,UnitedStates,$9.8M,"NewConceptEnergy,Inc",Oil&GasProduction,GBR
73,n/a,UnitedStates,$218.64M,NewEnglandRealtyAssociatesLimitedPartnership,Buildingoperators,NEN
74,2019,UnitedStates,$1.98B,NewFortressEnergyLLC,Oil/GasTransmission,NFE
75,2018,n/a,$406.24M,NewFrontierCorporation,BusinessServices,NFC
76,2018,n/a,n/a,NewFrontierCorporation,n/a,NFC.U
77,n/a,n/a,n/a,NewFrontierCorporation,n/a,NFC.WS
78,1990,UnitedStates,$220.76M,"NewGermanyFund,Inc.(The)",n/a,GF
79,n/a,Canada,$374.4M,NewGoldInc.,PreciousMetals,NGD
80,2014,n/a,$82.4M,NewHomeCompanyInc.(The),Homebuilding,NWHM
81,1990,UnitedStates,$44.02M,"NewIrelandFund,Inc.(The)",n/a,IRL
82,2014,n/a,$544.77M,NewMediaInvestmentGroupInc.,Newspapers/Magazines,NEWM
83,2011,UnitedStates,$1.13B,NewMountainFinanceCorporation,n/a,NMFC
84,2018,UnitedStates,n/a,NewMountainFinanceCorporation,n/a,NMFX
85,2006,China,$13.32B,"NewOrientalEducation&TechnologyGroup,Inc.",OtherConsumerServices,EDU
86,2014,UnitedStates,$5.92B,"NewRelic,Inc.",ComputerSoftware:PrepackagedSoftware,NEWR
87,n/a,UnitedStates,$6.48B,NewResidentialInvestmentCorp.,RealEstateInvestmentTrusts,NRZ
88,2014,UnitedStates,$531.9M,NewSeniorInvestmentGroupInc.,RealEstateInvestmentTrusts,SNR
89,n/a,UnitedStates,$4.64B,"NewYorkCommunityBancorp,Inc.",Banks,NYCB
