,IPO year,country,market capital,name,subsector,symbol
263,n/a,China,$17.24M,"Moxian,Inc.","ComputerSoftware:Programming,DataProcessing",MOXC
264,2012,UnitedStates,$24.31B,MPLXLP,NaturalGasDistribution,MPLX
265,n/a,UnitedStates,$740.18M,Mr.CooperGroupInc.,Finance:ConsumerServices,COOP
266,2012,UnitedStates,$1.27B,MRCGlobalInc.,IndustrialMachinery/Components,MRC
267,n/a,n/a,n/a,MSStructuredAssetCorpSaturnsGECapCorpSeries2002-14,Finance:ConsumerServices,HJV
268,n/a,UnitedStates,$3.85B,MSASafetyIncorporporated,IndustrialSpecialties,MSA
269,n/a,UnitedStates,$79.27M,MSBFinancialCorp.,SavingsInstitutions,MSBF
270,1995,UnitedStates,$3.93B,"MSCIndustrialDirectCompany,Inc.",IndustrialMachinery/Components,MSM
271,n/a,UnitedStates,$18.86B,MSCIInc,BusinessServices,MSCI
272,n/a,UnitedStates,$1.55B,MSGNetworksInc.,TelevisionServices,MSGN
273,2014,UnitedStates,$58.7M,"MTBC,Inc.",ComputerSoftware:PrepackagedSoftware,MTBC
274,n/a,UnitedStates,$18.58M,"MTBC,Inc.",ComputerSoftware:PrepackagedSoftware,MTBCP
275,2018,UnitedStates,$75.72M,MTechAcquisitionCorp.,EDPServices,MTEC
276,2018,UnitedStates,n/a,MTechAcquisitionCorp.,EDPServices,MTECU
277,2018,UnitedStates,n/a,MTechAcquisitionCorp.,EDPServices,MTECW
278,n/a,UnitedStates,$984.8M,MTSSystemsCorporation,IndustrialMachinery/Components,MTSC
279,2018,UnitedStates,$262.86M,MudrickCapitalAcquisitionCorporation,BusinessServices,MUDS
280,2018,UnitedStates,n/a,MudrickCapitalAcquisitionCorporation,BusinessServices,MUDSU
281,2018,UnitedStates,n/a,MudrickCapitalAcquisitionCorporation,BusinessServices,MUDSW
282,n/a,UnitedStates,$1.55B,"MuellerIndustries,Inc.",MetalFabrications,MLI
283,2006,UnitedStates,$1.47B,MuellerWaterProductsInc,MetalFabrications,MWA
284,1987,UnitedStates,$1.02B,Multi-ColorCorporation,Publishing,LABL
285,n/a,UnitedStates,$591.31M,"MuniVestFund,Inc.",n/a,MVF
286,1993,UnitedStates,$65.27M,"MuniYieldArizonaFund,Inc.",n/a,MZA
287,n/a,UnitedStates,$4.32B,MurphyOilCorporation,Oil&GasProduction,MUR
288,2013,UnitedStates,$2.58B,MurphyUSAInc.,AutomotiveAftermarket,MUSA
289,n/a,UnitedStates,$134.87M,"MustangBio,Inc.",MajorPharmaceuticals,MBIO
290,n/a,UnitedStates,$261.62M,MutualFirstFinancialInc.,MajorBanks,MFSF
291,2007,UnitedStates,$89.7M,MVOilTrust,Oil&GasProduction,MVO
292,n/a,UnitedStates,$187.42M,MVBFinancialCorp.,MajorBanks,MVBF
293,n/a,UnitedStates,$160.59M,"MVCCapital,Inc.",n/a,MVC
294,2017,UnitedStates,n/a,"MVCCapital,Inc.",n/a,MVCD
295,n/a,Israel,$20.92M,"MySize,Inc.",ComputerSoftware:PrepackagedSoftware,MYSZ
296,n/a,UnitedStates,$606.04M,"MyersIndustries,Inc.",PlasticProducts,MYE
297,n/a,UnitedKingdom,$8.87B,MylanN.V.,MajorPharmaceuticals,MYL
298,n/a,UnitedStates,$11.75M,"MYndAnalytics,Inc.",Hospital/NursingManagement,MYND
299,n/a,UnitedStates,n/a,"MYndAnalytics,Inc.",Hospital/NursingManagement,MYNDW
300,2015,UnitedStates,$2.18B,"MyoKardia,Inc.",MajorPharmaceuticals,MYOK
301,2017,UnitedStates,$15.58M,MyomoInc.,IndustrialSpecialties,MYO
302,n/a,UnitedStates,$11.28M,MYOSRENSTechnologyInc.,MajorPharmaceuticals,MYOS
303,2016,UnitedStates,$649.06M,MyovantSciencesLtd.,MajorPharmaceuticals,MYOV
304,n/a,UnitedStates,$547.63M,"MYRGroup,Inc.",WaterSupply,MYRG
305,1995,UnitedStates,$1.79B,"MyriadGenetics,Inc.",Biotechnology:InVitro&InVivoDiagnosticSubstances,MYGN
306,n/a,UnitedStates,$213.09M,MBTFinancialCorp,MajorBanks,MBTF
307,n/a,UnitedStates,$22.16B,M&TBankCorporation,MajorBanks,MTB
308,n/a,UnitedStates,n/a,M&TBankCorporation,n/a,MTB^
309,n/a,UnitedStates,n/a,M&TBankCorporation,n/a,MTB^C
310,n/a,UnitedStates,$1.95B,"M.D.C.Holdings,Inc.",Homebuilding,MDC
311,1993,UnitedStates,$765.03M,"M/IHomes,Inc.",Homebuilding,MHO
312,n/a,UnitedStates,$351.33M,MacatawaBankCorporation,MajorBanks,MCBC
313,1994,UnitedStates,$5.22B,MacerichCompany(The),RealEstateInvestmentTrusts,MAC
314,n/a,UnitedStates,$2B,Mack-CaliRealtyCorporation,RealEstateInvestmentTrusts,CLI
