,IPO year,country,market capital,name,subsector,symbol
133,n/a,UnitedStates,$44.09M,InvescoDWANASDAQMomentumETF,n/a,DWAQ
134,n/a,UnitedStates,$241.54M,InvescoDWASmallCapMomentumETF,n/a,DWAS
135,n/a,UnitedStates,$36.38M,InvescoDWATacticalMulti-AssetIncomeETF,n/a,DWIN
136,n/a,UnitedStates,$63.1M,InvescoDWATacticalSectorRotationETF,n/a,DWTR
137,n/a,UnitedStates,$176.39M,InvescoDWATechnologyMomentumETF,n/a,PTF
138,n/a,UnitedStates,$182.96M,InvescoDWAUtilitiesMomentumETF,n/a,PUI
139,n/a,UnitedStates,$85.93M,InvescoFTSEInternationalLowBetaEqualWeightETF,n/a,IDLB
140,n/a,UnitedStates,$1.93B,InvescoFTSERAFIUS1500Small-MidETF,n/a,PRFZ
141,n/a,UnitedStates,$177.73M,InvescoGlobalWaterETF,n/a,PIO
142,n/a,UnitedStates,$177.28M,InvescoGoldenDragonChinaETF,n/a,PGJ
143,2016,UnitedStates,$247M,InvescoHighIncome2023TargetTermFund,n/a,IHIT
144,2017,n/a,$88.3M,InvescoHighIncome2024TargetTermFund,n/a,IHTA
145,1989,UnitedStates,$117.15M,InvescoHighIncomeTrustII,n/a,VLT
146,n/a,UnitedStates,$797.81M,InvescoHighYieldEquityDividendAchieversETF,n/a,PEY
147,n/a,UnitedStates,$170.5M,InvescoInternationalBuyBackAchieversETF,n/a,IPKW
148,n/a,UnitedStates,$739.02M,InvescoInternationalDividendAchieversETF,n/a,PID
149,n/a,UnitedStates,$572.24M,InvescoKBWBankETF,n/a,KBWB
150,n/a,UnitedStates,$288.01M,InvescoKBWHighDividendYieldFinancialETF,n/a,KBWD
151,n/a,UnitedStates,$328.3M,InvescoKBWPremiumYieldEquityREITETF,n/a,KBWY
152,n/a,UnitedStates,$71.2M,InvescoKBWProperty&CasualtyInsuranceETF,n/a,KBWP
153,n/a,UnitedStates,$77M,InvescoKBWRegionalBankingETF,n/a,KBWR
154,n/a,UnitedStates,$12.49M,InvescoLadderRite0-5YearCorporateBondETF,n/a,LDRI
155,2009,UnitedStates,$2.01B,INVESCOMORTGAGECAPITALINC,RealEstateInvestmentTrusts,IVR
156,n/a,UnitedStates,n/a,INVESCOMORTGAGECAPITALINC,n/a,IVR^B
157,n/a,UnitedStates,n/a,INVESCOMORTGAGECAPITALINC,n/a,IVR^C
158,n/a,UnitedStates,n/a,InvescoMortgageCapitalInc.,n/a,IVR^A
159,n/a,UnitedStates,$358.83M,InvescoMunicipalIncomeOpportunitiesTrust,n/a,OIA
160,n/a,UnitedStates,$815.72M,InvescoMunicipalOpportunityTrust,n/a,VMO
161,n/a,UnitedStates,$678.23M,InvescoMunicipalTrust,n/a,VKQ
162,n/a,UnitedStates,$534.11M,InvescoNasdaqInternetETF,n/a,PNQI
163,n/a,UnitedStates,$2.02B,InvescoOptimumYieldDiversifiedCommodityStrategyNoK-1ET,n/a,PDBC
164,n/a,UnitedStates,$301.44M,InvescoPennsylvaniaValueMunicipalIncomeTrust,n/a,VPV
165,n/a,UnitedStates,$9.71B,InvescoPlc,InvestmentManagers,IVZ
166,n/a,UnitedStates,$69.04B,"InvescoQQQTrust,Series1",n/a,QQQ
167,n/a,UnitedStates,$646.24M,InvescoQualityMunicipalIncomeTrust,n/a,IQI
168,n/a,UnitedStates,$142.98M,InvescoRAFIStrategicDevelopedex-USETF,n/a,ISDX
169,n/a,UnitedStates,$14.72M,InvescoRAFIStrategicDevelopedex-USSmallCompanyETF,n/a,ISDS
170,n/a,UnitedStates,$8.61M,InvescoRAFIStrategicEmergingMarketsETF,n/a,ISEM
171,n/a,UnitedStates,$3.57M,InvescoRAFIStrategicUSETF,n/a,IUS
172,n/a,UnitedStates,$2.24M,InvescoRAFIStrategicUSSmallCompanyETF,n/a,IUSS
173,n/a,UnitedStates,$125.96M,InvescoRussell1000LowBetaEqualWeightETF,n/a,USLB
174,n/a,UnitedStates,$31.22M,InvescoS&PSmallCapConsumerDiscretionaryETF,n/a,PSCD
175,n/a,UnitedStates,$61.56M,InvescoS&PSmallCapConsumerStaplesETF,n/a,PSCC
176,n/a,UnitedStates,$22.76M,InvescoS&PSmallCapEnergyETF,n/a,PSCE
177,n/a,UnitedStates,$139.05M,InvescoS&PSmallCapFinancialsETF,n/a,PSCF
178,n/a,UnitedStates,$516.85M,InvescoS&PSmallCapHealthCareETF,n/a,PSCH
179,n/a,UnitedStates,$62.19M,InvescoS&PSmallCapIndustrialsETF,n/a,PSCI
180,n/a,UnitedStates,$298.99M,InvescoS&PSmallCapInformationTechnologyETF,n/a,PSCT
181,n/a,UnitedStates,$16.55M,InvescoS&PSmallCapMaterialsETF,n/a,PSCM
182,n/a,UnitedStates,$55.61M,InvescoS&PSmallCapUtilities&CommunicationServicesETF,n/a,PSCU
183,1998,UnitedStates,$757.95M,InvescoSeniorIncomeTrust,n/a,VVR
184,n/a,UnitedStates,$256.52M,InvescoTrustforInvestmentGradeNewYorkMunicipal,n/a,VTN
185,n/a,UnitedStates,$674.56M,InvescoTrustforInvestmentGradeMunicipals,n/a,VGM
186,n/a,UnitedStates,$693.14M,InvescoValueMunicipalIncomeTrust,n/a,IIM
187,n/a,UnitedStates,$414.83M,InvescoVariableRateInvestmentGradeETF,n/a,VRIG
188,n/a,UnitedStates,$897.79M,InvescoWaterResourcesETF,n/a,PHO
189,2014,UnitedStates,$242.77M,InvestarHoldingCorporation,MajorBanks,ISTR
190,n/a,UnitedStates,$2.93B,"InvestorsBancorp,Inc.",MajorBanks,ISBC
191,n/a,UnitedStates,$681.63M,InvestorsRealEstateTrust,RealEstateInvestmentTrusts,IRET
192,n/a,UnitedStates,n/a,InvestorsRealEstateTrust,n/a,IRET^C
193,n/a,UnitedStates,$300.28M,InvestorsTitleCompany,SpecialtyInsurers,ITIC
194,2015,UnitedStates,$1.61B,InvitaeCorporation,MedicalSpecialities,NVTA
195,2017,UnitedStates,$13.35B,InvitationHomesInc.,RealEstate,INVH
196,n/a,UnitedStates,$10.43M,InVivoTherapeuticsHoldingsCorp.,Medical/DentalInstruments,NVIV
197,n/a,UnitedStates,$95.39M,IonGeophysicalCorporation,Oil&GasProduction,IO
198,n/a,UnitedStates,$9.08B,"IonisPharmaceuticals,Inc.",MajorPharmaceuticals,IONS
199,n/a,UnitedStates,$2.2B,"IovanceBiotherapeutics,Inc.",Biotechnology:BiologicalProducts(NoDiagnosticSubstances),IOVA
200,2006,UnitedStates,$6.83B,IPGPhotonicsCorporation,Semiconductors,IPGP
201,2018,UnitedStates,$44.61M,iPicEntertainmentInc.,Restaurants,IPIC
202,n/a,UnitedStates,$309.99M,IQChaikinU.S.LargeCapETF,n/a,CLRG
203,n/a,UnitedStates,$284.92M,IQChaikinU.S.SmallCapETF,n/a,CSML
204,2018,China,$6.04B,"iQIYI,Inc.",ConsumerElectronics/VideoChains,IQ
205,2013,UnitedStates,$26.85B,"IQVIAHoldings,Inc.",Biotechnology:CommercialPhysical&BiologicalResarch,IQV
206,2014,UnitedStates,$242.33M,iRadimedCorporation,Medical/DentalInstruments,IRMD
207,2016,UnitedStates,$1.71B,"iRhythmTechnologies,Inc.",Medical/DentalInstruments,IRTC
208,1996,UnitedStates,$67.22M,IRIDEXCorporation,Biotechnology:Electromedical&ElectrotherapeuticApparatus,IRIX
209,n/a,UnitedStates,$2.6B,IridiumCommunicationsInc,TelecommunicationsEquipment,IRDM
210,2005,UnitedStates,$2.49B,iRobotCorporation,ConsumerElectronics/Appliances,IRBT
211,n/a,UnitedStates,$8.83B,IronMountainIncorporated,RealEstateInvestmentTrusts,IRM
212,2010,UnitedStates,$1.71B,"IronwoodPharmaceuticals,Inc.",MajorPharmaceuticals,IRWD
213,n/a,Argentina,$552.06M,IRSAInversionesYRepresentacionesS.A.,Homebuilding,IRS
