,IPO year,country,market capital,name,subsector,symbol
85,2017,UnitedStates,n/a,KBLMergerCorp.IV,BusinessServices,KBLMU
86,2017,UnitedStates,n/a,KBLMergerCorp.IV,BusinessServices,KBLMW
87,2006,UnitedStates,$3.17B,"KBR,Inc.",Military/Government/Technical,KBR
88,2013,China,$8.47M,KBSFashionGroupLimited,Apparel,KBSF
89,2017,UnitedStates,$793.82M,"KeaneGroup,Inc.",OilfieldServices/Equipment,FRAC
90,n/a,UnitedStates,$1.21B,KearnyFinancial,SavingsInstitutions,KRNY
91,n/a,UnitedStates,$17.74B,KelloggCompany,PackagedFoods,K
92,n/a,UnitedStates,$928.67M,"KellyServices,Inc.",ProfessionalServices,KELYA
93,n/a,UnitedStates,$914.21M,"KellyServices,Inc.",ProfessionalServices,KELYB
94,n/a,Canada,$62.87M,KelsoTechnologiesInc,Railroads,KIQ
95,n/a,UnitedStates,$959.85M,KemetCorporation,ElectricalProducts,KEM
96,2014,UnitedStates,n/a,KemperCorporation,Property-CasualtyInsurers,KMPA
97,n/a,UnitedStates,$5.41B,KemperCorporation,Property-CasualtyInsurers,KMPR
98,2015,UnitedStates,$47.63M,"KemPharm,Inc.",MajorPharmaceuticals,KMPH
99,n/a,UnitedStates,$2.6B,KennametalInc.,IndustrialMachinery/Components,KMT
100,n/a,UnitedStates,$2.96B,Kennedy-WilsonHoldingsInc.,RealEstate,KW
101,2015,Singapore,$1.01B,KenonHoldingsLtd.,ElectricUtilities:Central,KEN
102,n/a,UnitedStates,$64.9M,KentuckyFirstFederalBancorp,SavingsInstitutions,KFFB
103,n/a,UnitedStates,$39.91B,KeurigDrPepperInc.,Beverages(Production/Distribution),KDP
104,n/a,UnitedStates,$59.59M,KewauneeScientificCorporation,MedicalSpecialities,KEQU
105,2016,UnitedStates,$35.08M,"KeyEnergyServices,Inc.",OilfieldServices/Equipment,KEG
106,1983,UnitedStates,$55.09M,KeyTronicCorporation,Computerperipheralequipment,KTCC
107,n/a,UnitedStates,$16.44B,KeyCorp,MajorBanks,KEY
108,n/a,UnitedStates,n/a,KeyCorp,n/a,KEY^I
109,n/a,UnitedStates,n/a,KeyCorp,n/a,KEY^J
110,n/a,UnitedStates,n/a,KeyCorp,n/a,KEY^K
